no,page,section,content_type,key,english_text,traditional_chinese_text,section_id,button,web_link,image_file,status,notes
16,Home,Why Animetro,Feature Description,why_2_desc,"Every student receives a tailored strategy based on academic profile, interests, strengths, goals, and family priorities.",每位學生都會依據學業背景、興趣、優勢、目標與家庭需求，制定專屬成長策略,why-animetro,,,,Approved,特色二說明
17,Home,Why Animetro,Feature Title,why_3_title,Family-Centered Support,以家庭為中心的支持,why-animetro,,,,Approved,特色三標題
18,Home,Why Animetro,Feature Description,why_3_desc,"We support both students and parents through planning, communication, decision-making, and school transitions.",我們在教育規劃、溝通協調、家庭決策與學校銜接過程中，同時支持學生與家長,why-animetro,,,,Approved,特色三說明
19,Home,Why Animetro,Feature Title,why_4_title,Global Education Perspective,國際教育視野,why-animetro,,,,Approved,特色四標題
20,Home,Why Animetro,Feature Description,why_4_desc,"Our guidance connects Canadian, U.S., and international education pathways with each student’s long-term growth.",我們結合加拿大、美國與國際教育路徑，協助學生建立面向長遠成長的教育規劃,why-animetro,,,,Approved,特色四說明
35,Home,Success Stories,Story Title,success_1_title,Private School Admission Success,私校錄取成功案例,success-stories,,,,Approved,案例一標題
36,Home,Success Stories,Story Description,success_1_desc,"Supported a Grade 7 student through school selection, application strategy, interviews, and enrollment at a leading independent school.",協助七年級學生完成選校、申請策略、面試及錄取流程，成功進入優秀私立學校。,success-stories,,,,Approved,案例一說明
37,Home,Success Stories,Story Title,success_2_title,Student Athlete Development Pathway,學生運動員發展路徑,success-stories,,,,Approved,案例二標題
38,Home,Success Stories,Story Description,success_2_desc,"Guided student-athletes in balancing academics, training, competition schedules, and long-term educational planning.",協助學生運動員平衡學業、訓練、比賽與長期教育規劃。,success-stories,,,,Approved,案例二說明
39,Home,Success Stories,Story Title,success_3_title,STEM & Research Development,STEM與研究能力發展,success-stories,,,,Approved,案例三標題
40,Home,Success Stories,Story Description,success_3_desc,"Helped students build STEM portfolios through research projects, competitions, enrichment programs, and academic planning.",協助學生透過研究項目、競賽、拓展課程及學術規劃建立STEM發展履歷。,success-stories,,,,Approved,案例三說明
41,Home,Success Stories,Story Title,success_4_title,Neurodiversity Student Success,神經多樣性學生成功案例,success-stories,,,,Approved,案例四標題
42,Home,Success Stories,Story Description,success_4_desc,"Supported students with ADHD, autism, giftedness, and learning differences through personalized educational pathways.",為ADHD、自閉症、資優及學習差異學生提供個人化教育發展路徑。,success-stories,,,,Approved,案例四說明
43,Home,Meet Emily,Title,founder_title,Meet Emily Huang,認識 Emily Huang,,,,,Approved,區塊標題
44,Home,Meet Emily,Subtitle,founder_subtitle,Founder & Principal Consultant,創辦人兼首席教育顧問,,,,,Approved,副標題
45,Home,Meet Emily,Bio,founder_bio,"Emily Huang brings more than 20 years of experience in education, psychology, neurodiversity advocacy, family support, and student development. She specializes in helping students and families navigate educational pathways with confidence and purpose.",Emily Huang 擁有超過20年的教育、心理學、神經多樣性倡導、家庭支持及學生發展經驗，專注於協助學生與家庭建立清晰且有方向的教育成長路徑。,,,,,meet-emily,Approved
46,Home,Meet Emily,Highlight,founder_highlight_1,Educational Strategy & Planning,教育策略與規劃,,,,,meet-emily,Approved
47,Home,Meet Emily,Highlight,founder_highlight_2,Private School & University Admissions,私校及大學申請規劃,,,,,meet-emily,Approved
48,Home,Meet Emily,Highlight,founder_highlight_3,Neurodiversity & Family Support,神經多樣性與家庭支持,,,,,meet-emily,Approved
49,Home,Meet Emily,Highlight,founder_highlight_4,Student Growth & Development,學生成長與發展,,,,,meet-emily,Approved
50,Home,Meet Emily,CTA,founder_cta,Learn More About Emily,了解 Emily 的故事,,,,,meet-emily,Approved
51,Home,Testimonials,Title,testimonials_title,What Families Say,家長怎麼說,testimonials,,,,,Approved
52,Home,Testimonials,Testimonial,testimonial_1,Animetro helped us see the bigger picture and create a long-term educational plan for our child.,Animetro 幫助我們看見更長遠的方向，為孩子建立完整的教育發展規劃。,testimonials,,,,,Approved
53,Home,Testimonials,Attribution,testimonial_1_name,Parent of Grade 7 Student,七年級學生家長,testimonials,,,,,Approved
54,Home,Testimonials,Testimonial,testimonial_2,The guidance went far beyond school applications and focused on our child’s overall growth and confidence.,顧問服務不只是申請學校，更重視孩子整體成長與自信建立。,testimonials,,,,,Approved
55,Home,Testimonials,Attribution,testimonial_2_name,Parent of Student Athlete,學生運動員家長,testimonials,,,,,Approved
56,Home,Testimonials,Testimonial,testimonial_3,Emily provided thoughtful advice and helped our family make informed educational decisions.,Emily 提供了細緻而專業的建議，協助我們做出更有信心的教育決策。,testimonials,,,,,Approved
57,Home,Testimonials,Attribution,testimonial_3_name,Family Education Client,教育規劃家庭,testimonials,,,,,Approved
58,Home,Consultation CTA,Title,cta_title,Ready to Build Your Child's Future?,準備為孩子規劃未來嗎？,consultation-cta,,,,,Approved
59,Home,Consultation CTA,Subtitle,cta_subtitle,Growth Beyond Admission starts with a thoughtful educational plan. Let's explore the right pathway for your child together.,成長超越升學始於完善的教育規劃。讓我們一起為孩子探索最適合的成長路徑。,consultation-cta,,,,,Approved
60,Home,Consultation CTA,Description,cta_description,"Whether you are considering private schools, university pathways, STEM development, student-athlete opportunities, neurodiversity support, or long-term educational planning, Animetro provides personalized guidance tailored to your family's goals.",無論您正在考慮私校申請、大學規劃、STEM發展、學生運動員發展、神經多樣性支持，或長期教育規劃，Animetro 都能根據家庭需求提供個人化專業指導。,consultation-cta,,,,,Approved
61,Home,Consultation CTA,Benefit,cta_benefit_1,Personalized Educational Planning,個人化教育規劃,consultation-cta,,,,,Approved
62,Home,Consultation CTA,Benefit,cta_benefit_2,Private School & University Guidance,私校及大學申請指導,consultation-cta,,,,,Approved
63,Home,Consultation CTA,Benefit,cta_benefit_3,Student Growth & Development Support,學生成長與發展支持,consultation-cta,,,,,Approved
64,Home,Consultation CTA,Benefit,cta_benefit_4,Family-Centered Consulting,以家庭為中心的教育顧問服務,consultation-cta,,,,,Approved
65,Home,Consultation CTA,Button,cta_button,Book a Free Consultation,預約免費諮詢,consultation-cta,,,,,Approved
66,Home,Consultation CTA,Contact,cta_phone,905-955-7068,905-955-7068,consultation-cta,,,,,Approved
67,Home,Consultation CTA,Contact,cta_email,consulting@animetro.ca,consulting@animetro.ca,consultation-cta,,,,,Approved
68,Home,Consultation CTA,Contact,cta_website,www.animetro.ca,www.animetro.ca,consultation-cta,,,,,Approved
69,Home,Consultation CTA,Closing Statement,cta_closing,"Every student deserves a pathway designed for their strengths, goals, and future potential.",每位學生都值得擁有符合其優勢、目標與未來潛能的成長路徑。,consultation-cta,,,,,Approved
,Insights,Hero,Title,insights_title,Education Insights,教育洞察,insights,,/insights,,,Approved
,Insights,Hero,Subtitle,insights_subtitle,"Practical education guidance for families planning school, university, and long-term student growth.",為家庭提供有關學校選擇、大學申請與學生長期成長的實用教育觀點。,insights,,/insights,,,Approved
,Insights,Hero,Description,insights_description,"Animetro shares practical perspectives on admissions, academic planning, student development, and future-ready education pathways.",艾美加分享有關升學申請、學術規劃、學生發展與面向未來教育路徑的實用觀點。,insights,,/insights,,,Approved
,Insights,Category,Category,insights_school_pathways,School Pathways,學校路徑,insights-categories,,/insights#school-pathways,,,Approved
,Insights,Category,Category,insights_university,University Admissions,大學申請,insights-categories,,/insights#university-admissions,,,Approved
,Insights,Category,Category,insights_student_growth,Student Growth,學生成長,insights-categories,,/insights#student-growth,,,Approved
,Insights,Category,Category,insights_neurodiversity,Gifted & Neurodivergent Learners,資優與神經多樣性學生,insights-categories,,/insights#neurodiversity,,,Approved
,Insights,Category,Category,insights_student_athlete,Student-Athlete Planning,學生運動員規劃,insights-categories,,/insights#student-athlete,,,Approved
,Insights,Category,Category,insights_parent_strategy,Parent Strategy,家長教育策略,insights-categories,,/insights#parent-strategy,,,Approved
,Insights,Article,Title,insight_1_title,"How to Choose Between Private School, Public School, and Boarding School",如何在私校、公校與寄宿學校之間做選擇,school-pathways,,/insights/how-to-choose-school-pathways,,,Approved
,Insights,Article,Summary,insight_1_summary,"The right school is not always the most famous one. Families should compare academic fit, student personality, support systems, extracurricular depth, and long-term goals.",最合適的學校不一定是最有名的學校。家庭應從學術匹配度、孩子性格、支持系統、課外資源與長期目標綜合判斷。,school-pathways,,/insights/how-to-choose-school-pathways,,,Approved
,Insights,Article,Title,insight_2_title,What Competitive Universities Really Look For,頂尖大學真正看重什麼,university-admissions,,/insights/what-universities-look-for,,,Approved
,Insights,Article,Summary,insight_2_summary,"Strong grades matter, but selective universities also look for intellectual direction, initiative, contribution, resilience, and a clear pattern of growth.",優秀成績很重要，但高競爭力大學同時重視學術方向、主動性、貢獻力、抗壓能力與清晰的成長軌跡。,university-admissions,,/insights/what-universities-look-for,,,Approved
,Insights,Article,Title,insight_3_title,Why Student Growth Should Come Before Admissions,為什麼學生發展應先於升學結果,student-growth,,/insights/growth-before-admissions,,,Approved
,Insights,Article,Summary,insight_3_summary,"Admissions success is strongest when it grows naturally from a student’s habits, interests, confidence, and ability to take ownership of learning.",真正有競爭力的申請，往往來自學生長期形成的習慣、興趣、自信，以及對學習的主動掌控。,student-growth,,/insights/growth-before-admissions,,,Approved
,Insights,Article,Title,insight_4_title,Supporting Gifted and Neurodivergent Students,如何支持資優與神經多樣性學生,neurodiversity,,/insights/supporting-neurodivergent-students,,,Approved
,Insights,Article,Summary,insight_4_summary,"Gifted and neurodivergent students often need both challenge and structure. The best plan balances strengths, emotional regulation, executive function, and school fit.",資優與神經多樣性學生通常同時需要挑戰與結構。理想規劃應平衡優勢發展、情緒調節、執行功能與學校匹配度。,neurodiversity,,/insights/supporting-neurodivergent-students,,,Approved
,Insights,Article,Title,insight_5_title,Planning for Student-Athletes,學生運動員如何做長期規劃,student-athlete,,/insights/student-athlete-planning,,,Approved
,Insights,Article,Summary,insight_5_summary,"Student-athletes need a realistic plan that protects academics, training, recovery, leadership development, and future application positioning.",學生運動員需要一個務實的長期計劃，兼顧學業、訓練、恢復、領導力發展與未來申請定位。,student-athlete,,/insights/student-athlete-planning,,,Approved
,Insights,Article,Title,insight_6_title,How Parents Can Support Without Over-Managing,家長如何支持孩子而不過度管理,parent-strategy,,/insights/parent-support-without-overmanaging,,,Approved
,Insights,Article,Summary,insight_6_summary,"The most effective parents create structure, ask better questions, and help children build ownership instead of controlling every decision.",最有效的家長不是控制每個決定，而是建立結構、提出好問題，並幫助孩子逐步建立自主能力。,parent-strategy,,/insights/parent-support-without-overmanaging,,,Approved
,Insights,CTA,Title,insights_cta_title,Need a personalized education strategy?,需要個性化教育規劃嗎？,insights-cta,,/contact,,,Approved
,Insights,CTA,Description,insights_cta_description,"Book a consultation to discuss your child’s school pathway, academic plan, and long-term growth strategy.",預約諮詢，討論孩子的學校路徑、學術規劃與長期成長策略。,insights-cta,,/contact,,,Approved
,Insights,CTA,Button,insights_cta_button,Book a Free Consultation,預約免費諮詢,insights-cta,Book a Free Consultation,/contact,,,Approved
